Ref,Val,Package,PosX,PosY,Rot,Side
"C0","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",45.243910,73.330201,90.000000,bottom
"C1","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",52.982857,61.912282,-90.000000,bottom
"C2","0.1uf","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",120.406250,52.387230,0.000000,bottom
"C3","0.1uf","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",127.793750,52.387230,180.000000,bottom
"C4","0.1uf","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",129.365549,61.453426,90.000000,bottom
"C5","0.1uf","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",118.578884,65.099636,135.000000,bottom
"C6","1uf","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",115.193259,59.530980,180.000000,bottom
"C7","22p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",126.801882,69.353811,135.000000,bottom
"C8","22p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",121.443750,69.055980,45.000000,bottom
"C9","2.2uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",122.605590,41.274730,90.000000,bottom
"D_SPACE1","D","D_SOD-123",12.619831,65.880980,90.000000,bottom
"D_SPACE2","D","D_SOD-123",31.669135,65.880980,90.000000,bottom
"D_SPACE3","D","D_SOD-123",50.718439,65.880980,90.000000,bottom
"D_SPACE4","D","D_SOD-123",69.767743,65.880980,90.000000,bottom
"D_SPACE5","D","D_SOD-123",88.817047,65.880980,90.000000,bottom
"D_SPACE6","D","D_SOD-123",107.866352,65.880980,90.000000,bottom
"D_SPACE8","D","D_SOD-123",145.976512,65.880980,90.000000,bottom
"D_SPACE9","D","D_SOD-123",165.026512,65.880980,90.000000,bottom
"D_SPACE10","D","D_SOD-123",184.076512,65.880980,90.000000,bottom
"D_SPACE11","D","D_SOD-123",203.126512,65.880980,90.000000,bottom
"D_SPACE12","D","D_SOD-123",222.176512,65.880980,90.000000,bottom
"D_SPACE13","D","D_SOD-123",241.226512,65.880980,90.000000,bottom
"D_SPACE14","D","D_SOD-123",12.619831,46.830980,90.000000,bottom
"D_SPACE15","D","D_SOD-123",31.669135,46.830980,90.000000,bottom
"D_SPACE16","D","D_SOD-123",50.718439,46.830980,90.000000,bottom
"D_SPACE17","D","D_SOD-123",69.767743,46.830980,90.000000,bottom
"D_SPACE18","D","D_SOD-123",88.817047,46.830980,90.000000,bottom
"D_SPACE19","D","D_SOD-123",107.866352,46.830980,90.000000,bottom
"D_SPACE21","D","D_SOD-123",145.976512,46.830980,90.000000,bottom
"D_SPACE22","D","D_SOD-123",165.026512,46.830980,90.000000,bottom
"D_SPACE23","D","D_SOD-123",184.076512,46.830980,90.000000,bottom
"D_SPACE24","D","D_SOD-123",203.126512,46.830980,90.000000,bottom
"D_SPACE25","D","D_SOD-123",222.176512,46.830980,90.000000,bottom
"D_SPACE26","D","D_SOD-123",241.226512,46.830980,90.000000,bottom
"D_SPACE27","D","D_SOD-123",17.264032,27.780980,90.000000,bottom
"D_SPACE28","D","D_SOD-123",41.199842,27.780980,90.000000,bottom
"D_SPACE29","D","D_SOD-123",60.250630,27.780980,90.000000,bottom
"D_SPACE30","D","D_SOD-123",79.301418,27.780980,90.000000,bottom
"D_SPACE31","D","D_SOD-123",98.352206,27.780980,90.000000,bottom
"D_SPACE32","D","D_SOD-123",117.402994,27.780980,90.000000,bottom
"D_SPACE34","D","D_SOD-123",136.453782,27.780980,90.000000,bottom
"D_SPACE35","D","D_SOD-123",155.504570,27.780980,90.000000,bottom
"D_SPACE36","D","D_SOD-123",174.555358,27.780980,90.000000,bottom
